Date,Price,Open,High,Low,Vol.,Change %
2/6/2025,"30,011.84","29,735.59","30,011.84","29,735.59",83.50M,0.93%
2/5/2025,"29,735.59","29,668.47","29,772.63","29,596.50",103.71M,0.23%
2/4/2025,"29,668.47","29,754.77","29,937.39","29,668.47",135.05M,-0.29%
2/3/2025,"29,754.77","29,917.96","30,001.23","29,698.79",152.06M,-0.55%
2/2/2025,"29,917.96","30,010.62","30,198.22","29,917.96",103.16M,-0.31%
1/30/2025,"30,010.62","29,891.61","30,127.35","29,891.61",127.58M,0.40%
1/29/2025,"29,891.61","29,646.60","29,982.32","29,646.60",112.71M,0.83%
1/28/2025,"29,646.60","29,742.12","29,900.15","29,646.60",63.28M,-0.32%
1/27/2025,"29,742.12","30,034.85","30,091.04","29,726.66",90.87M,-0.97%
1/26/2025,"30,034.85","29,997.69","30,276.52","29,995.30",76.04M,0.12%
1/23/2025,"29,997.69","29,979.14","30,258.34","29,947.05",71.45M,0.06%
1/22/2025,"29,979.14","29,826.58","30,178.66","29,826.58",106.30M,0.51%
1/21/2025,"29,826.58","29,619.39","29,826.58","29,607.07",88.87M,0.70%
1/20/2025,"29,619.39","29,728.61","29,857.25","29,610.89",75.00M,-0.37%
1/19/2025,"29,728.61","29,605.12","29,840.53","29,605.12",90.30M,0.42%
1/16/2025,"29,605.12","29,389.93","29,730.63","29,389.93",90.70M,0.73%
1/15/2025,"29,389.93","28,967.09","29,389.93","28,967.09",128.56M,1.46%
1/14/2025,"28,967.09","28,556.28","29,097.25","28,349.98",105.46M,1.44%
1/13/2025,"28,556.28","29,277.45","29,587.41","28,556.28",93.27M,-2.46%
1/12/2025,"29,277.45","29,444.65","29,444.65","28,969.26",75.92M,-0.57%
1/9/2025,"29,444.65","29,785.91","29,894.50","29,444.65",59.07M,-1.15%
1/8/2025,"29,785.91","29,929.64","29,950.54","29,669.41",68.35M,-0.48%
1/6/2025,"29,929.64","30,183.61","30,238.27","29,908.35",113.56M,-0.84%
1/5/2025,"30,183.61","30,060.48","30,279.95","30,059.96",72.23M,0.41%
1/2/2025,"30,060.48","29,740.58","30,127.45","29,740.58",85.06M,1.08%
12/31/2024,"29,740.58","29,325.20","29,740.58","29,325.20",102.62M,1.42%
12/30/2024,"29,325.20","29,594.48","29,700.82","29,237.94",97.65M,-0.91%
12/29/2024,"29,594.48","29,957.97","30,033.84","29,594.48",71.23M,-1.21%
12/26/2024,"29,957.97","30,005.00","30,039.60","29,937.24",53.51M,-0.16%
12/25/2024,"30,005.00","29,973.15","30,164.71","29,973.15",90.65M,0.11%
12/24/2024,"29,973.15","30,118.38","30,165.45","29,810.40",64.74M,-0.48%
12/23/2024,"30,118.38","30,372.70","30,443.89","30,118.38",88.37M,-0.84%
12/22/2024,"30,372.70","30,526.71","30,626.63","30,372.70",49.70M,-0.50%
12/19/2024,"30,526.71","30,503.07","30,528.42","30,211.82",94.12M,0.08%
12/18/2024,"30,503.07","30,601.64","30,807.41","30,452.01",81.09M,-0.32%
12/17/2024,"30,601.64","30,799.43","30,932.81","30,601.64",87.94M,-0.64%
12/16/2024,"30,799.43","30,776.00","30,918.19","30,682.68",99.17M,0.08%
12/15/2024,"30,776.00","30,795.09","30,835.57","30,621.08",87.50M,-0.06%
12/12/2024,"30,795.09","30,739.26","30,879.01","30,739.26",68.91M,0.18%
12/11/2024,"30,739.26","30,617.83","30,807.78","30,581.63",83.31M,0.40%
12/10/2024,"30,617.83","31,005.12","31,067.10","30,617.83",98.94M,-1.25%
12/9/2024,"31,005.12","31,060.51","31,185.24","30,977.11",143.14M,-0.18%
12/8/2024,"31,060.51","30,839.57","31,232.73","30,839.57",120.19M,0.72%
12/5/2024,"30,839.57","30,832.61","31,035.14","30,824.25",112.52M,0.02%
12/4/2024,"30,832.61","30,628.74","31,005.17","30,628.74",123.61M,0.67%
12/3/2024,"30,628.74","30,525.32","30,642.46","30,525.32",101.68M,0.34%
12/2/2024,"30,525.32","30,497.13","30,675.44","30,429.45",147.14M,0.09%
12/1/2024,"30,497.13","30,242.13","30,502.15","30,242.13",111.27M,0.84%
11/28/2024,"30,242.13","29,846.04","30,242.13","29,763.65",66.35M,1.33%
11/27/2024,"29,846.04","30,284.35","30,300.75","29,846.04",71.74M,-1.45%
11/26/2024,"30,284.35","30,270.51","30,351.88","30,167.29",74.56M,0.05%
11/25/2024,"30,270.51","30,397.22","30,585.38","30,169.38",90.97M,-0.42%
11/24/2024,"30,397.22","30,631.80","30,779.96","30,397.22",63.37M,-0.77%
11/21/2024,"30,631.80","30,587.99","30,795.30","30,587.99",72.73M,0.14%
11/20/2024,"30,587.99","30,688.30","30,783.53","30,503.57",70.14M,-0.33%
11/19/2024,"30,688.30","30,864.34","30,898.74","30,688.30",80.67M,-0.57%
11/18/2024,"30,864.34","31,252.07","31,359.65","30,864.34",105.24M,-1.24%
11/17/2024,"31,252.07","31,462.21","31,492.51","31,205.36",71.16M,-0.67%
11/14/2024,"31,462.21","31,433.01","31,582.09","31,433.01",67.68M,0.09%
11/13/2024,"31,433.01","31,582.39","31,687.73","31,424.67",105.89M,-0.47%
11/12/2024,"31,582.39","31,621.29","31,799.44","31,489.03",167.84M,-0.12%
11/11/2024,"31,621.29","31,394.33","31,621.29","31,394.33",137.86M,0.72%
11/10/2024,"31,394.33","31,267.47","31,514.62","31,267.47",76.67M,0.41%
11/7/2024,"31,267.47","31,045.26","31,370.65","31,045.26",119.51M,0.72%
11/6/2024,"31,045.26","30,793.94","31,120.58","30,793.94",110.76M,0.82%
11/5/2024,"30,793.94","30,650.04","30,820.95","30,650.04",72.75M,0.47%
11/4/2024,"30,650.04","30,833.13","31,074.49","30,650.04",103.53M,-0.59%
11/3/2024,"30,833.13","30,658.00","30,978.78","30,658.00",84.75M,0.57%
10/31/2024,"30,658.00","30,371.26","30,732.59","30,371.26",103.80M,0.94%
10/30/2024,"30,371.26","30,619.96","30,725.27","30,371.26",75.96M,-0.81%
10/29/2024,"30,619.96","30,773.53","30,856.05","30,527.47",113.22M,-0.50%
10/28/2024,"30,773.53","30,812.23","30,980.91","30,634.32",110.30M,-0.13%
10/27/2024,"30,812.23","30,552.82","30,904.96","30,552.82",86.75M,0.85%
10/24/2024,"30,552.82","30,414.05","30,627.30","30,359.83",113.79M,0.46%
10/23/2024,"30,414.05","30,427.35","30,587.73","30,327.55",177.85M,-0.04%
10/22/2024,"30,427.35","30,445.20","30,537.27","30,220.55",109.90M,-0.06%
10/21/2024,"30,445.20","29,528.79","30,445.20","29,180.44",125.79M,3.10%
10/20/2024,"29,528.79","30,143.86","30,287.25","29,528.79",113.33M,-2.04%
10/17/2024,"30,143.86","30,545.11","30,604.91","30,100.35",98.48M,-1.31%
10/16/2024,"30,545.11","30,584.24","31,039.77","30,545.11",147.53M,-0.13%
10/15/2024,"30,584.24","30,273.06","30,620.50","30,273.06",109.36M,1.03%
10/14/2024,"30,273.06","29,954.12","30,343.53","29,676.93",126.15M,1.06%
10/13/2024,"29,954.12","30,762.32","30,884.12","29,795.11",120.40M,-2.63%
10/10/2024,"30,762.32","31,175.43","31,332.83","30,762.32",155.59M,-1.33%
10/9/2024,"31,175.43","30,851.63","31,206.34","30,654.70",110.69M,1.05%
10/8/2024,"30,851.63","31,819.16","31,820.56","30,453.60",210.63M,-3.04%
10/7/2024,"31,819.16","31,720.50","32,184.68","31,720.50",146.24M,0.31%
10/3/2024,"31,720.50","31,332.73","31,720.50","31,332.73",141.78M,1.24%
10/2/2024,"31,332.73","31,866.06","31,866.06","31,253.63",178.63M,-1.67%
10/1/2024,"31,866.06","31,587.04","31,915.26","31,587.04",180.61M,0.88%
9/30/2024,"31,587.04","31,459.09","31,720.84","31,444.57",163.40M,0.41%
9/29/2024,"31,459.09","31,276.91","31,580.62","31,276.91",168.33M,0.58%
9/26/2024,"31,276.91","31,250.64","31,475.03","31,205.35",180.43M,0.08%
9/25/2024,"31,250.64","30,871.10","31,250.64","30,871.10",184.16M,1.23%
9/24/2024,"30,871.10","31,022.54","31,087.83","30,818.94",95.51M,-0.49%
9/23/2024,"31,022.54","31,038.41","31,202.71","30,944.45",166.44M,-0.05%
9/22/2024,"31,038.41","30,937.69","31,161.15","30,937.69",159.41M,0.33%
9/19/2024,"30,937.69","30,342.46","30,937.69","30,342.46",228.03M,1.96%
9/18/2024,"30,342.46","30,159.15","30,360.47","30,096.97",133.81M,0.61%
9/17/2024,"30,159.15","30,260.24","30,459.87","30,126.74",141.33M,-0.33%
9/16/2024,"30,260.24","30,497.83","30,711.86","30,258.70",116.11M,-0.78%
9/12/2024,"30,497.83","30,485.63","30,689.90","30,471.66",148.05M,0.04%
9/11/2024,"30,485.63","30,104.35","30,565.10","29,803.14",167.44M,1.27%
9/10/2024,"30,104.35","30,374.96","30,511.83","30,075.24",152.49M,-0.89%
9/9/2024,"30,374.96","30,273.73","30,520.34","30,227.11",123.23M,0.33%
9/8/2024,"30,273.73","31,029.70","31,033.57","30,273.73",135.31M,-2.44%
9/5/2024,"31,029.70","30,998.19","31,177.10","30,979.99",131.52M,0.10%
9/4/2024,"30,998.19","31,018.48","31,018.48","30,648.74",146.31M,-0.07%
9/3/2024,"31,018.48","30,731.98","31,161.86","30,722.75",172.42M,0.93%
9/2/2024,"30,731.98","30,902.88","31,221.69","30,706.47",266.52M,-0.55%
9/1/2024,"30,902.88","30,774.19","31,174.48","30,774.19",306.78M,0.42%
8/29/2024,"30,774.19","30,709.59","30,910.31","30,614.05",310.76M,0.21%
8/28/2024,"30,709.59","30,363.15","30,742.82","30,363.15",176.22M,1.14%
8/27/2024,"30,363.15","30,133.81","30,570.71","30,072.37",315.52M,0.76%
8/26/2024,"30,133.81","30,073.95","30,304.76","29,952.80",275.22M,0.20%
8/25/2024,"30,073.95","30,141.08","30,196.31","29,999.88",181.40M,-0.22%
8/22/2024,"30,141.08","29,914.29","30,142.57","29,845.01",229.67M,0.76%
8/21/2024,"29,914.29","29,915.24","30,020.32","29,756.62",230.50M,0.00%
8/20/2024,"29,915.24","29,320.18","29,915.24","29,320.18",154.36M,2.03%
8/19/2024,"29,320.18","29,460.24","29,532.82","29,240.01",146.77M,-0.48%
8/18/2024,"29,460.24","29,629.14","29,798.38","29,409.54",172.24M,-0.57%
8/15/2024,"29,629.14","29,567.00","29,833.68","29,465.90",167.45M,0.21%
