Date,Price,Open,High,Low,Vol.,Change %
2025-02-06,30011.84,29735.59,30011.84,29735.59,83500000.0,0.009300000000000001
2025-02-05,29735.59,29668.47,29772.63,29596.5,103710000.0,0.0023
2025-02-04,29668.47,29754.77,29937.39,29668.47,135050000.0,-0.0029
2025-02-03,29754.77,29917.96,30001.23,29698.79,152060000.0,-0.0055000000000000005
2025-02-02,29917.96,30010.62,30198.22,29917.96,103160000.0,-0.0031
2025-01-30,30010.62,29891.61,30127.35,29891.61,127580000.0,0.004
2025-01-29,29891.61,29646.6,29982.32,29646.6,112710000.0,0.0083
2025-01-28,29646.6,29742.12,29900.15,29646.6,63280000.0,-0.0032
2025-01-27,29742.12,30034.85,30091.04,29726.66,90870000.0,-0.0097
2025-01-26,30034.85,29997.69,30276.52,29995.3,76040000.0,0.0012
2025-01-23,29997.69,29979.14,30258.34,29947.05,71450000.0,0.0006
2025-01-22,29979.14,29826.58,30178.66,29826.58,106300000.0,0.0051
2025-01-21,29826.58,29619.39,29826.58,29607.07,88870000.0,0.006999999999999999
2025-01-20,29619.39,29728.61,29857.25,29610.89,75000000.0,-0.0037
2025-01-19,29728.61,29605.12,29840.53,29605.12,90300000.0,0.0042
2025-01-16,29605.12,29389.93,29730.63,29389.93,90700000.0,0.0073
2025-01-15,29389.93,28967.09,29389.93,28967.09,128560000.0,0.0146
2025-01-14,28967.09,28556.28,29097.25,28349.98,105460000.0,0.0144
2025-01-13,28556.28,29277.45,29587.41,28556.28,93270000.0,-0.0246
2025-01-12,29277.45,29444.65,29444.65,28969.26,75920000.0,-0.005699999999999999
2025-01-09,29444.65,29785.91,29894.5,29444.65,59070000.0,-0.0115
2025-01-08,29785.91,29929.64,29950.54,29669.41,68350000.0,-0.0048
2025-01-06,29929.64,30183.61,30238.27,29908.35,113560000.0,-0.0084
2025-01-05,30183.61,30060.48,30279.95,30059.96,72230000.0,0.0040999999999999995
2025-01-02,30060.48,29740.58,30127.45,29740.58,85060000.0,0.0108
2024-12-31,29740.58,29325.2,29740.58,29325.2,102620000.0,0.014199999999999999
2024-12-30,29325.2,29594.48,29700.82,29237.94,97650000.0,-0.0091
2024-12-29,29594.48,29957.97,30033.84,29594.48,71230000.0,-0.0121
2024-12-26,29957.97,30005.0,30039.6,29937.24,53510000.0,-0.0016
2024-12-25,30005.0,29973.15,30164.71,29973.15,90650000.0,0.0011
2024-12-24,29973.15,30118.38,30165.45,29810.4,64739999.99999999,-0.0048
2024-12-23,30118.38,30372.7,30443.89,30118.38,88370000.0,-0.0084
2024-12-22,30372.7,30526.71,30626.63,30372.7,49700000.0,-0.005
2024-12-19,30526.71,30503.07,30528.42,30211.82,94120000.0,0.0008
2024-12-18,30503.07,30601.64,30807.41,30452.01,81090000.0,-0.0032
2024-12-17,30601.64,30799.43,30932.81,30601.64,87940000.0,-0.0064
2024-12-16,30799.43,30776.0,30918.19,30682.68,99170000.0,0.0008
2024-12-15,30776.0,30795.09,30835.57,30621.08,87500000.0,-0.0006
2024-12-12,30795.09,30739.26,30879.01,30739.26,68910000.0,0.0018
2024-12-11,30739.26,30617.83,30807.78,30581.63,83310000.0,0.004
2024-12-10,30617.83,31005.12,31067.1,30617.83,98940000.0,-0.0125
2024-12-09,31005.12,31060.51,31185.24,30977.11,143140000.0,-0.0018
2024-12-08,31060.51,30839.57,31232.73,30839.57,120190000.0,0.0072
2024-12-05,30839.57,30832.61,31035.14,30824.25,112520000.0,0.0002
2024-12-04,30832.61,30628.74,31005.17,30628.74,123610000.0,0.0067
2024-12-03,30628.74,30525.32,30642.46,30525.32,101680000.0,0.0034000000000000002
2024-12-02,30525.32,30497.13,30675.44,30429.45,147140000.0,0.0009
2024-12-01,30497.13,30242.13,30502.15,30242.13,111270000.0,0.0084
2024-11-28,30242.13,29846.04,30242.13,29763.65,66349999.99999999,0.013300000000000001
